user,failed_logins,requests_count,docs_accessed,docs_downloaded,hour_of_day,error_rate,unique_endpoints,session_duration_min,sensitive_docs_accessed,distinct_ips,share_actions,admin_actions,password_reset_delay_min,e2e_key_failures,repeated_doc_downloads,is_anomaly,predicted_anomaly,anomaly_score
user_12@scp.local,0,12,2,0,14,0.043,5,38.4,2,1,1,0,0,0,1,0,0,0.190802
user_30@scp.local,0,89,10,4,12,0.011,6,97.2,2,1,2,0,0,0,1,0,0,0.196205
user_46@scp.local,0,21,3,5,16,0.043,4,114.9,1,1,1,0,0,0,0,0,0,0.182472
user_9@scp.local,0,74,12,6,17,0.026,6,48.6,1,1,3,0,0,0,2,0,0,0.178811
user_32@scp.local,0,93,9,2,11,0.006,7,10.8,2,1,0,0,0,0,2,0,0,0.164638
user_25@scp.local,0,50,5,3,16,0.006,7,75.1,2,1,2,0,0,0,0,0,0,0.196089
user_38@scp.local,0,39,4,40,12,0.026,4,81.7,18,1,6,0,0,0,1,1,0,0.013834
user_12@scp.local,0,62,5,2,12,0.046,6,51.0,0,1,0,0,0,0,2,0,0,0.197673
user_41@scp.local,0,89,4,1,17,0.025,9,102.2,0,3,2,0,0,0,0,0,0,0.095999
user_50@scp.local,0,93,8,3,9,0.008,3,112.1,0,1,3,0,0,0,1,0,0,0.164793
user_22@scp.local,0,32,2,0,15,0.001,5,62.1,1,1,0,0,0,0,1,0,0,0.190895
user_47@scp.local,0,38,8,4,16,0.048,5,25.0,1,1,3,0,0,0,0,0,0,0.184376
user_49@scp.local,0,20,5,4,12,0.046,8,80.7,0,1,3,0,0,0,2,0,0,0.196027
user_18@scp.local,0,47,2,4,9,0.027,10,48.4,1,1,0,0,0,0,1,0,0,0.184102
user_42@scp.local,5,27,4,12,12,0.389,4,116.5,8,1,4,0,0,0,1,1,0,0.001827
user_11@scp.local,0,31,2,4,10,0.007,5,65.0,2,1,1,0,0,0,2,0,0,0.192133
user_17@scp.local,0,11,3,5,11,0.041,8,51.9,1,1,3,0,0,0,0,0,0,0.185324
user_32@scp.local,0,12,9,3,10,0.006,10,116.1,0,1,1,0,0,0,1,0,0,0.167520
user_5@scp.local,0,22,2,1,14,0.026,4,21.9,1,1,2,0,0,0,1,0,0,0.192942
user_45@scp.local,0,46,4,5,12,0.008,6,106.0,1,1,1,0,0,0,1,0,0,0.204320
user_8@scp.local,0,65,1,1,14,0.018,9,101.0,1,1,3,0,0,0,1,0,0,0.194750
user_22@scp.local,0,87,0,2,17,0.023,6,63.0,2,1,2,0,0,0,1,0,0,0.187844
user_12@scp.local,0,92,3,5,12,0.02,7,110.9,1,1,0,0,0,0,2,0,0,0.189065
user_35@scp.local,0,11,10,3,10,0.005,9,79.3,1,1,1,0,0,0,1,0,0,0.176344
user_48@scp.local,0,59,6,5,13,0.012,5,30.4,0,1,0,0,0,0,0,0,0,0.185351
user_50@scp.local,0,10,5,1,0,0.002,4,260.5,1,1,1,0,0,0,2,1,0,0.064021
user_12@scp.local,0,63,0,1,15,0.031,7,29.5,0,1,3,0,0,0,1,0,0,0.190958
user_48@scp.local,0,25,4,0,11,0.065,7,65.8,1,1,0,0,0,0,2,0,0,0.187771
user_31@scp.local,0,87,6,0,16,0.026,7,29.1,1,1,1,0,0,0,2,0,0,0.193377
user_25@scp.local,0,36,7,1,13,0.0,4,106.3,1,1,0,0,0,0,1,0,0,0.187208
user_27@scp.local,0,73,7,1,12,0.033,10,29.7,0,1,3,0,0,0,2,0,0,0.187701
user_39@scp.local,0,46,45,62,13,0.004,6,88.5,1,1,3,0,0,0,17,1,1,-0.037610
user_44@scp.local,0,42,3,1,9,0.017,8,58.9,2,1,1,0,0,0,2,0,0,0.190714
user_18@scp.local,0,36,10,1,9,0.02,8,102.4,1,1,0,0,0,0,2,0,0,0.177133
user_36@scp.local,0,94,3,3,13,0.036,4,59.0,1,1,0,0,0,0,2,0,0,0.188474
user_6@scp.local,20,74,6,2,14,0.518,9,59.6,2,1,1,0,0,5,0,1,1,-0.061021
user_42@scp.local,0,88,9,2,15,0.02,7,80.6,0,1,2,0,0,0,2,0,0,0.194182
user_3@scp.local,0,12,5,4,14,0.016,5,101.3,1,1,2,0,0,0,2,0,0,0.193236
user_49@scp.local,0,24,2,3,11,0.028,3,92.3,0,1,2,0,0,0,0,0,0,0.188145
user_36@scp.local,0,37,6,3,10,0.046,5,35.9,0,1,3,0,0,0,0,0,0,0.186081
user_21@scp.local,0,43,9,1,12,0.012,5,63.4,1,1,1,0,0,0,1,0,0,0.200967
user_47@scp.local,0,61,0,2,12,0.043,7,26.7,0,1,2,0,0,0,0,0,0,0.186923
user_23@scp.local,0,93,5,2,14,0.001,3,110.2,2,1,0,0,0,0,0,0,0,0.170974
user_34@scp.local,0,55,6,0,15,0.048,3,105.8,0,1,2,0,0,0,0,0,0,0.181514
user_34@scp.local,0,38,8,4,11,0.046,4,93.1,2,1,1,0,0,0,0,0,0,0.189748
user_19@scp.local,0,11,6,1,10,0.042,7,91.6,2,1,2,0,0,0,1,0,0,0.189143
user_7@scp.local,0,27,5,12,13,0.376,6,79.1,8,1,7,0,0,0,1,1,0,0.037572
user_1@scp.local,0,51,10,3,14,0.025,4,86.8,2,1,3,0,0,0,0,0,0,0.185503
user_2@scp.local,0,60,5,2,11,0.045,8,85.1,1,1,0,0,0,0,2,0,0,0.198131
user_19@scp.local,0,61,8,5,11,0.037,8,108.2,2,1,3,0,0,0,2,0,0,0.189700
user_49@scp.local,0,41,10,4,9,0.02,9,6.2,1,1,1,0,0,0,1,0,0,0.180065
user_29@scp.local,0,50,4,19,17,0.188,3,73.7,9,1,7,0,0,0,2,1,0,0.037965
user_20@scp.local,0,63,3,1,12,0.008,7,7.5,0,1,2,0,0,0,1,0,0,0.188899
user_6@scp.local,0,37,7,3,9,0.002,3,64.5,2,1,0,0,0,0,1,0,0,0.183278
user_34@scp.local,0,25,10,5,10,0.024,6,81.0,0,1,0,0,0,0,2,0,0,0.180647
user_34@scp.local,0,33,3,1,17,0.021,8,82.1,0,1,3,0,0,0,1,0,0,0.194420
user_49@scp.local,0,17,1,0,10,0.045,6,56.6,1,1,2,0,0,0,2,0,0,0.183923
user_36@scp.local,0,54,0,5,11,0.023,10,47.4,0,2,1,0,0,0,0,0,0,0.127139
user_42@scp.local,0,79,8,5,10,0.013,3,54.6,2,1,0,0,0,0,1,0,0,0.182353
user_30@scp.local,0,55,4,1,14,0.04,7,14.7,0,1,0,0,0,0,1,0,0,0.193645
user_32@scp.local,0,50,2,5,16,0.017,8,101.8,1,1,1,0,0,0,1,0,0,0.196889
user_45@scp.local,0,87,5,0,14,0.012,5,82.1,1,1,1,0,0,0,2,0,0,0.197743
user_46@scp.local,7,99,0,12,15,0.148,3,55.7,10,1,6,0,0,0,2,1,1,-0.011411
user_32@scp.local,0,11,0,4,11,0.031,10,95.3,0,1,3,0,0,0,2,0,0,0.170518
user_50@scp.local,0,68,6,1,15,0.035,4,20.3,2,1,3,0,0,0,2,0,0,0.183853
user_2@scp.local,0,80,14,7,15,0.007,7,73.2,0,1,3,0,0,0,1,0,0,0.170333
user_49@scp.local,0,94,8,2,17,0.049,5,23.3,1,1,1,0,0,0,0,0,0,0.172541
user_5@scp.local,0,64,8,1,11,0.026,7,54.7,0,1,0,0,0,0,1,0,0,0.195755
user_17@scp.local,0,97,10,2,12,0.025,6,72.0,1,1,3,0,0,0,0,0,0,0.183142
user_22@scp.local,0,93,3,3,11,0.01,3,70.4,0,1,3,0,0,0,1,0,0,0.187185
user_49@scp.local,0,56,1,3,17,0.007,7,16.5,2,1,3,0,0,0,1,0,0,0.183043
user_7@scp.local,0,32,8,4,11,0.043,4,39.2,0,1,3,0,0,0,2,0,0,0.189539
user_10@scp.local,0,73,2,0,12,0.049,3,82.2,2,1,0,0,0,0,0,0,0,0.179219
user_41@scp.local,0,74,8,1,10,0.027,7,41.8,0,1,0,0,0,0,0,0,0,0.180758
user_14@scp.local,0,42,0,5,14,0.02,5,105.0,2,1,3,0,0,0,1,0,0,0.189792
user_45@scp.local,0,95,4,3,13,0.033,3,24.1,1,1,0,0,0,0,2,0,0,0.183637
user_45@scp.local,0,76,7,2,13,0.009,3,13.8,1,1,0,0,0,0,0,0,0,0.181250
user_31@scp.local,0,99,8,1,15,0.006,3,48.5,0,1,3,0,0,0,1,0,0,0.175485
user_2@scp.local,0,39,2,2,17,0.005,7,22.4,1,1,3,0,0,0,2,0,0,0.183476
user_49@scp.local,0,95,4,5,16,0.02,9,30.9,2,1,1,0,0,0,0,0,0,0.175353
user_17@scp.local,0,16,3,1,17,0.024,3,41.4,2,3,2,0,0,0,1,0,0,0.107718
user_43@scp.local,0,54,2,0,17,0.044,3,104.7,1,1,3,0,0,0,2,0,0,0.176162
user_8@scp.local,0,69,0,3,9,0.044,9,15.8,2,1,2,0,0,0,1,0,0,0.179391
user_18@scp.local,0,28,3,1,9,0.018,3,97.9,2,1,3,0,0,0,2,0,0,0.173540
user_15@scp.local,0,76,7,5,16,0.045,9,27.2,2,1,0,0,0,0,0,0,0,0.173940
user_8@scp.local,0,64,1,1,17,0.019,9,53.1,0,1,1,0,0,0,0,0,0,0.183370
user_49@scp.local,0,51,5,2,10,0.04,9,68.2,1,1,1,0,0,0,0,0,0,0.194265
user_28@scp.local,0,92,4,5,10,0.039,10,63.8,2,1,2,0,0,0,2,0,0,0.185483
user_25@scp.local,0,68,9,2,10,0.002,5,85.5,0,1,2,0,0,0,1,0,0,0.187902
user_30@scp.local,0,73,1,1,13,0.029,9,93.6,0,1,2,0,0,0,1,0,0,0.199945
user_40@scp.local,0,60,0,5,23,0.047,3,263.4,0,1,3,0,0,0,1,1,0,0.103555
user_23@scp.local,0,45,4,5,17,0.054,10,61.9,2,1,3,0,0,0,1,0,0,0.180623
user_19@scp.local,0,35,9,2,13,0.017,3,13.5,2,1,0,0,0,0,1,0,0,0.179772
user_3@scp.local,0,40,1,2,13,0.027,8,116.0,0,1,1,0,0,0,0,0,0,0.189406
user_18@scp.local,0,64,8,3,14,0.013,4,31.7,2,1,1,0,0,0,0,0,0,0.192633
user_41@scp.local,0,17,5,3,12,0.043,8,25.5,0,1,0,0,0,0,0,0,0,0.182891
user_19@scp.local,0,81,1,1,11,0.032,5,111.7,1,1,1,0,0,0,0,0,0,0.185545
user_2@scp.local,0,62,9,3,10,0.043,3,97.2,0,1,0,0,0,0,1,0,0,0.179726
user_17@scp.local,0,84,3,4,13,0.014,7,117.5,2,1,3,0,0,0,2,0,0,0.190414
user_18@scp.local,0,50,8,1,12,0.032,4,55.0,1,1,2,0,0,0,2,0,0,0.200328
user_16@scp.local,0,28,3,1,14,0.04,10,14.4,2,1,3,0,0,0,1,0,0,0.180270
user_4@scp.local,0,76,8,4,9,0.004,7,92.2,2,1,3,0,0,0,2,0,0,0.184414
user_50@scp.local,2,88,1,0,9,0.025,9,102.4,1,7,1,0,0.091,0,2,1,0,0.000038
user_15@scp.local,0,27,9,4,16,0.007,3,118.4,0,1,3,0,0,0,1,0,0,0.174338
user_41@scp.local,0,74,1,4,16,0.05,10,45.7,1,1,3,0,0,0,2,0,0,0.184372
user_24@scp.local,0,17,8,2,13,0.045,10,92.8,1,1,3,0,0,0,2,0,0,0.184308
user_50@scp.local,0,30,54,65,14,0.02,6,20.7,0,1,1,0,0,0,10,1,1,-0.036320
user_33@scp.local,0,69,4,2,12,0.023,4,111.6,1,1,2,0,0,0,1,0,0,0.204171
user_24@scp.local,0,31,5,4,10,0.036,7,105.9,1,1,2,0,0,0,1,0,0,0.204394
user_26@scp.local,0,17,1,2,12,0.039,5,63.7,2,1,3,0,0,0,2,0,0,0.186745
user_39@scp.local,0,14,8,5,14,0.034,5,62.8,2,1,3,0,0,0,1,0,0,0.190490
user_8@scp.local,0,68,5,4,12,0.029,10,47.9,2,1,3,0,0,0,1,0,0,0.197402
user_7@scp.local,0,97,6,5,11,0.013,5,102.8,0,1,0,0,0,0,0,0,0,0.167272
user_2@scp.local,0,73,9,3,13,0.05,4,66.2,0,1,2,0,0,0,0,0,0,0.192811
user_26@scp.local,0,83,5,2,11,0.038,3,32.3,2,1,1,0,0,0,2,0,0,0.191813
user_39@scp.local,0,93,2,1,13,0.044,9,114.9,2,1,3,0,0,0,2,0,0,0.180465
user_6@scp.local,0,76,10,2,13,0.004,3,15.5,0,1,3,0,0,0,0,0,0,0.168856
user_19@scp.local,0,82,8,4,12,0.016,5,11.6,0,1,2,0,0,0,2,0,0,0.186666
user_46@scp.local,0,47,8,0,11,0.043,8,13.8,1,1,0,0,0,0,0,0,0,0.177926
user_37@scp.local,0,91,5,4,9,0.023,7,45.1,1,1,0,0,0,0,1,0,0,0.188202
user_18@scp.local,0,97,8,1,17,0.022,9,68.0,0,3,1,0,0,0,0,0,0,0.086580
user_3@scp.local,0,37,8,0,17,0.012,9,57.8,0,1,1,0,0,0,1,0,0,0.184317
user_36@scp.local,0,59,1,3,9,0.045,9,90.5,0,2,1,0,0,0,2,0,0,0.133228
user_38@scp.local,0,98,8,2,9,0.037,4,7.3,2,1,2,0,0,0,2,0,0,0.163085
user_2@scp.local,0,53,9,5,11,0.008,3,78.8,2,1,0,0,0,0,1,0,0,0.183306
user_46@scp.local,0,88,7,5,15,0.042,6,42.7,0,1,1,0,0,0,0,0,0,0.188376
user_4@scp.local,0,79,9,0,12,0.008,4,90.0,0,3,1,0,0,0,0,0,0,0.093774
user_21@scp.local,0,64,4,3,11,0.045,5,91.6,0,1,0,0,0,0,2,0,0,0.191344
user_35@scp.local,0,74,1,2,12,0.029,4,91.7,2,1,2,0,0,0,1,0,0,0.197972
user_3@scp.local,0,76,10,5,16,0.019,5,23.3,0,1,0,0,0,0,1,0,0,0.173818
user_3@scp.local,0,52,9,4,14,0.037,6,101.9,2,1,0,0,0,0,1,0,0,0.194028
user_23@scp.local,0,16,6,4,17,0.025,5,109.5,1,1,0,0,0,0,2,0,0,0.180719
user_21@scp.local,0,17,3,0,14,0.022,8,36.1,2,1,2,0,0,0,2,0,0,0.189770
user_34@scp.local,0,91,6,3,14,0.045,10,48.6,2,1,2,0,0,0,1,0,0,0.192958
user_34@scp.local,0,22,2,3,9,0.033,8,26.6,2,1,1,0,0,0,0,0,0,0.178484
user_23@scp.local,0,79,6,2,9,0.022,7,45.6,2,1,0,0,0,0,0,0,0,0.185154
user_31@scp.local,0,33,3,5,13,0.032,6,14.2,2,1,1,0,0,0,1,0,0,0.199579
user_37@scp.local,0,15,4,2,12,0.048,5,13.2,1,1,0,0,0,0,2,0,0,0.180713
user_9@scp.local,0,59,0,5,14,0.015,10,100.9,1,1,3,0,0,0,1,0,0,0.180180
user_14@scp.local,0,20,9,1,9,0.03,4,119.1,1,1,1,0,0,0,0,0,0,0.170001
user_18@scp.local,0,89,1,5,10,0.007,5,77.7,2,1,3,0,0,0,2,0,0,0.179558
user_34@scp.local,0,94,2,0,9,0.023,3,102.2,2,1,0,0,0,0,0,0,0,0.156337
user_15@scp.local,0,59,7,5,17,0.048,9,50.2,1,1,2,0,0,0,1,0,0,0.194051
user_27@scp.local,0,65,4,5,11,0.042,8,29.3,1,1,2,0,0,0,2,0,0,0.201580
user_15@scp.local,0,11,8,2,10,0.031,9,15.8,0,1,0,0,0,0,0,0,0,0.162507
user_9@scp.local,0,39,1,4,9,0.001,3,88.2,1,1,3,0,0,0,0,0,0,0.168803
user_30@scp.local,0,61,0,5,16,0.04,8,71.6,2,1,0,0,0,0,0,0,0,0.173756
user_40@scp.local,0,72,0,5,14,0.022,7,48.2,1,1,2,0,0,0,0,0,0,0.191226
user_45@scp.local,0,23,3,5,13,0.021,8,76.8,0,1,0,0,0,0,1,0,0,0.195976
user_37@scp.local,0,100,6,4,10,0.029,10,66.0,2,1,2,0,0,0,2,0,0,0.179286
user_31@scp.local,0,76,8,3,12,0.007,5,30.6,1,1,3,0,0,0,2,0,0,0.194138
user_22@scp.local,0,88,1,26,16,0.0,7,71.1,18,1,8,0,0,0,0,1,1,-0.022554
user_43@scp.local,0,46,9,3,14,0.015,3,102.8,1,1,3,0,0,0,0,0,0,0.183885
user_15@scp.local,0,48,9,2,12,0.041,10,26.8,0,1,2,0,0,0,0,0,0,0.183750
user_49@scp.local,0,94,5,0,9,0.039,9,8.6,2,1,1,0,0,0,0,0,0,0.163656
user_24@scp.local,0,70,2,2,15,0.03,7,18.2,0,1,3,0,0,0,2,0,0,0.189431
user_22@scp.local,0,24,5,1,17,0.028,10,82.5,0,1,0,0,0,0,0,0,0,0.173595
user_20@scp.local,0,77,7,2,10,0.045,3,65.3,1,1,0,0,0,0,2,0,0,0.188299
user_40@scp.local,0,72,6,4,11,0.038,4,117.3,0,1,1,0,0,0,1,0,0,0.194409
user_42@scp.local,0,53,1,3,13,0.048,8,15.3,2,1,3,0,0,0,2,0,0,0.184268
user_13@scp.local,18,12,1,5,15,0.757,5,60.1,1,1,0,0,0,6,1,1,1,-0.084294
user_37@scp.local,0,98,0,3,13,0.042,8,110.8,0,1,2,0,0,0,0,0,0,0.173976
user_48@scp.local,0,24,1,5,11,0.003,6,53.3,1,1,3,0,0,0,2,0,0,0.189225
user_16@scp.local,0,49,10,0,10,0.029,3,85.1,0,1,0,0,0,0,1,0,0,0.174067
user_25@scp.local,0,49,4,4,11,0.006,5,21.2,0,1,0,0,0,0,2,0,0,0.182632
user_35@scp.local,0,37,7,3,17,0.036,3,13.7,2,1,3,0,0,0,1,0,0,0.176715
user_26@scp.local,0,82,9,1,17,0.028,4,21.1,1,1,3,0,0,0,1,0,0,0.181601
user_39@scp.local,0,49,9,0,16,0.038,3,112.8,2,1,0,0,0,0,0,0,0,0.167983
user_19@scp.local,0,22,5,5,17,0.02,4,63.8,1,1,1,0,0,0,1,0,0,0.195812
user_21@scp.local,0,17,4,2,14,0.03,9,26.5,2,1,1,0,0,0,2,0,0,0.191360
user_35@scp.local,0,91,9,7,9,0.016,8,59.8,2,1,1,0,0,0,0,0,0,0.169884
user_21@scp.local,0,90,2,3,9,0.028,7,96.3,2,1,3,0,0,0,0,0,0,0.178789
user_31@scp.local,0,25,8,5,16,0.004,8,50.9,1,1,3,0,0,0,2,0,0,0.183237
user_43@scp.local,0,86,36,34,14,0.038,3,51.2,2,1,2,0,0,0,11,1,0,0.022370
user_10@scp.local,0,19,6,2,17,0.032,10,106.4,0,1,3,0,0,0,0,0,0,0.172350
user_12@scp.local,0,97,4,2,14,0.003,7,10.5,2,1,0,0,0,0,1,0,0,0.174645
user_30@scp.local,0,51,9,5,16,0.003,3,38.8,2,1,0,0,0,0,2,0,0,0.169611
user_43@scp.local,0,19,3,1,15,0.009,7,38.9,0,1,1,0,0,0,0,0,0,0.187941
user_16@scp.local,0,88,2,4,12,0.035,8,31.2,0,1,0,0,0,0,0,0,0,0.180374
user_32@scp.local,0,60,1,4,9,0.027,6,100.0,0,1,0,0,0,0,0,0,0,0.173037
user_27@scp.local,0,63,6,1,17,0.048,10,43.9,1,1,3,0,0,0,1,0,0,0.184623
user_39@scp.local,0,72,2,3,12,0.032,6,18.8,0,1,3,0,0,0,0,0,0,0.188780
user_39@scp.local,0,56,3,0,15,0.003,10,38.1,2,1,3,0,0,0,0,0,0,0.173381
user_36@scp.local,0,37,34,62,16,0.02,10,66.8,1,1,0,0,0,0,16,1,1,-0.031517
user_2@scp.local,0,46,6,0,16,0.001,9,40.9,0,1,2,0,0,0,2,0,0,0.182542
user_50@scp.local,0,67,4,3,17,0.041,7,105.3,2,1,3,0,0,0,2,0,0,0.192601
user_49@scp.local,0,15,7,3,17,0.036,10,19.2,1,1,2,0,0,0,0,0,0,0.169741
user_26@scp.local,0,59,7,5,15,0.0,7,78.7,0,1,3,0,0,0,2,0,0,0.192294
user_10@scp.local,0,77,10,2,9,0.021,9,70.3,1,1,3,0,0,0,2,0,0,0.185845
user_25@scp.local,0,37,8,2,4,0.035,7,257.0,1,1,1,0,0,0,2,1,0,0.100831
user_38@scp.local,0,31,2,3,12,0.001,4,93.9,0,1,3,0,0,0,2,0,0,0.186362
user_26@scp.local,0,32,2,5,13,0.046,4,54.6,2,1,1,0,0,0,0,0,0,0.192746
user_13@scp.local,0,34,9,0,9,0.002,5,82.9,0,1,2,0,0,0,1,0,0,0.178578
user_12@scp.local,0,68,45,49,14,0.023,8,33.2,1,1,1,0,0,0,19,1,1,-0.027513
user_37@scp.local,0,74,10,3,14,0.01,9,6.3,1,1,3,0,0,0,1,0,0,0.178036
