user,failed_logins,docs_accessed,session_duration_min,day_of_week,download_mb,own_section,role,entity_type,is_anomaly
user_17@scp.local,0,6,87.9,4,0.59,0.96,2,1,0
user_12@scp.local,0,7,54.3,1,44.5,0.93,4,2,0
user_41@scp.local,0,10,48.2,1,11.45,0.83,4,2,0
user_27@scp.local,0,7,223.5,6,8.68,0.98,5,2,1
user_37@scp.local,0,9,99.3,1,5.8,0.9,3,2,0
user_13@scp.local,0,7,65.2,0,48.0,0.98,1,2,0
user_45@scp.local,0,0,50.6,2,9.44,0.81,3,1,0
user_44@scp.local,0,129,21.7,1,31.53,0.95,5,2,1
user_27@scp.local,0,3,31.7,0,26.48,0.91,4,2,0
user_31@scp.local,0,10,60.0,0,4.03,0.96,2,2,0
user_30@scp.local,0,6,110.0,2,8.01,0.93,5,2,0
user_36@scp.local,0,5,116.5,1,14.99,0.87,4,2,0
user_24@scp.local,0,5,91.7,3,33.96,0.91,1,2,0
user_49@scp.local,0,10,15.7,3,20.19,0.83,1,1,0
user_13@scp.local,0,8,59.5,3,33.74,0.91,4,2,0
user_28@scp.local,0,8,76.0,4,5.13,0.82,5,2,0
user_11@scp.local,0,0,46.5,4,46.0,0.95,3,1,0
user_40@scp.local,0,6,51.6,4,17.52,0.9,3,2,0
user_22@scp.local,0,6,79.2,2,26.33,0.81,1,2,0
user_30@scp.local,0,6,7.8,0,4.56,0.94,4,1,0
user_41@scp.local,0,10,41.3,2,36.34,0.92,1,2,0
user_38@scp.local,0,3,61.3,1,35.04,0.98,3,1,0
user_8@scp.local,0,8,76.3,4,44.44,0.88,4,1,0
user_2@scp.local,0,4,66.1,4,26.06,0.87,3,1,0
user_46@scp.local,0,8,8.6,0,49.46,0.9,2,2,0
user_26@scp.local,0,8,22.6,0,17.19,0.89,4,2,0
user_33@scp.local,0,8,16.1,3,27.42,0.94,1,2,0
user_14@scp.local,0,4,80.4,1,18.96,0.96,3,1,0
user_19@scp.local,0,35,43.2,3,41.12,0.18,4,1,1
user_10@scp.local,0,7,27.8,0,6.55,0.83,4,1,0
user_39@scp.local,0,8,63.7,2,8.03,0.81,3,1,0
user_20@scp.local,0,2,112.1,3,7.06,0.82,2,2,0
user_39@scp.local,0,0,19.8,1,29.29,0.91,5,2,0
user_26@scp.local,0,7,203.0,5,24.07,0.89,3,2,1
user_41@scp.local,0,126,14.0,2,33.63,0.93,4,2,1
user_36@scp.local,0,140,24.4,1,27.05,0.89,5,1,1
user_26@scp.local,0,6,99.2,2,27.44,0.88,3,2,0
user_45@scp.local,0,6,104.0,3,13.43,0.88,5,1,0
user_9@scp.local,0,10,64.4,1,3.24,0.9,5,2,0
user_37@scp.local,0,10,68.8,2,32.23,0.83,2,2,0
user_1@scp.local,0,0,51.8,1,8.82,0.92,3,2,0
user_39@scp.local,0,4,106.4,0,46.58,0.84,5,1,0
user_10@scp.local,0,48,41.3,2,773.14,0.88,3,2,1
user_1@scp.local,0,4,100.5,3,7.4,0.85,4,2,0
user_4@scp.local,0,20,106.0,3,44.98,0.17,4,2,1
user_39@scp.local,0,0,109.5,0,1.27,0.89,3,2,0
user_25@scp.local,0,3,42.7,4,39.79,0.85,2,2,0
user_26@scp.local,0,3,10.2,4,2.4,0.9,4,1,0
user_33@scp.local,0,0,38.5,1,49.46,0.9,4,2,0
user_32@scp.local,0,10,84.1,3,17.94,0.95,1,1,0
user_27@scp.local,0,3,94.2,0,5.65,0.98,3,1,0
user_48@scp.local,0,9,8.6,2,36.52,0.8,2,1,0
user_17@scp.local,0,9,82.9,0,28.68,0.9,4,2,0
user_23@scp.local,0,3,98.2,2,42.42,0.83,1,1,0
user_47@scp.local,0,6,71.8,0,49.54,0.93,2,1,0
user_18@scp.local,0,6,32.5,0,49.8,0.87,5,2,0
user_26@scp.local,0,2,93.4,0,13.65,0.89,2,1,0
user_41@scp.local,0,2,118.4,1,35.62,0.88,4,2,0
user_50@scp.local,0,3,111.2,2,13.26,0.86,1,1,0
user_46@scp.local,0,6,111.9,2,15.75,0.88,1,1,0
user_25@scp.local,0,6,34.5,2,6.93,0.94,3,2,0
user_45@scp.local,0,0,35.4,1,0.12,0.9,1,2,0
user_41@scp.local,0,10,48.8,2,9.47,0.96,3,2,0
user_42@scp.local,0,6,117.0,3,26.9,0.86,3,1,0
user_1@scp.local,0,3,16.6,0,17.42,0.82,2,1,0
user_3@scp.local,0,10,476.9,6,23.0,0.99,2,1,1
user_45@scp.local,0,0,103.8,3,36.73,0.81,3,1,0
user_18@scp.local,0,3,319.0,5,31.29,0.9,2,1,1
user_24@scp.local,0,2,60.1,2,9.27,0.99,3,1,0
user_13@scp.local,0,7,82.0,4,36.21,0.85,1,1,0
user_19@scp.local,0,1,78.7,3,48.72,0.98,2,2,0
user_13@scp.local,0,1,25.4,1,18.29,0.95,4,2,0
user_9@scp.local,21,2,82.2,0,31.04,0.85,4,2,1
user_4@scp.local,0,3,81.5,1,24.06,0.97,1,1,0
user_49@scp.local,0,103,19.8,4,37.82,0.82,1,2,1
user_9@scp.local,0,60,25.7,4,1407.49,0.83,3,1,1
user_10@scp.local,0,8,109.3,0,10.17,0.88,1,1,0
user_42@scp.local,0,3,33.3,0,10.96,0.82,4,2,0
user_5@scp.local,0,1,42.4,3,29.58,0.98,1,1,0
user_22@scp.local,0,3,118.5,0,7.06,0.93,1,1,0
user_2@scp.local,0,4,103.0,3,31.82,0.83,3,1,0
user_25@scp.local,0,0,77.7,3,8.54,0.93,1,2,0
user_21@scp.local,0,3,33.9,0,43.66,0.91,2,1,0
user_23@scp.local,0,0,105.4,4,42.63,0.92,5,2,0
user_26@scp.local,0,0,20.3,0,35.62,0.85,1,1,0
user_44@scp.local,0,1,47.4,3,41.73,0.94,2,1,0
user_17@scp.local,0,7,401.8,5,36.19,0.96,1,2,1
user_47@scp.local,0,9,30.3,1,25.55,0.82,3,1,0
user_11@scp.local,0,4,69.1,3,29.83,0.82,5,2,0
user_37@scp.local,0,7,10.5,1,24.34,0.97,4,1,0
user_32@scp.local,0,3,101.5,0,6.81,0.96,4,2,0
user_36@scp.local,0,4,24.3,0,3.78,0.98,3,1,0
user_49@scp.local,0,1,72.7,1,18.92,0.91,5,2,0
user_11@scp.local,0,3,78.1,0,15.67,0.85,4,2,0
user_44@scp.local,0,3,57.7,2,37.9,0.95,1,1,0
user_2@scp.local,0,8,93.4,2,36.01,0.89,5,1,0
user_19@scp.local,0,153,21.6,2,20.97,0.88,5,1,1
user_12@scp.local,0,8,119.4,2,0.35,0.83,4,2,0
user_32@scp.local,0,6,114.7,1,29.77,0.9,5,1,0
user_41@scp.local,0,7,334.2,6,3.28,0.93,3,1,1
user_1@scp.local,0,9,90.2,0,47.99,0.94,1,2,0
user_18@scp.local,0,1,71.2,4,8.84,0.96,5,2,0
user_33@scp.local,28,3,100.0,4,41.49,0.82,4,2,1
user_5@scp.local,0,0,107.8,1,30.75,0.85,4,1,0
user_9@scp.local,0,8,112.2,3,44.02,0.8,2,1,0
user_2@scp.local,0,2,19.5,2,29.6,0.89,5,2,0
user_1@scp.local,0,8,72.0,3,23.8,0.99,2,2,0
user_17@scp.local,0,7,245.8,6,42.28,0.83,4,2,1
user_14@scp.local,0,4,18.2,2,14.61,0.92,1,2,0
user_17@scp.local,0,7,15.4,0,39.23,0.88,5,2,0
user_4@scp.local,0,1,16.1,1,2.5,0.93,2,1,0
user_46@scp.local,0,7,52.1,0,6.43,0.86,4,1,0
user_29@scp.local,0,8,62.5,2,40.49,0.84,1,2,0
user_39@scp.local,0,9,101.6,3,22.0,0.89,3,2,0
user_18@scp.local,0,1,53.7,2,6.1,1.0,2,1,0
user_10@scp.local,0,6,63.3,2,27.01,0.87,5,1,0
user_45@scp.local,0,2,91.6,3,46.31,0.84,3,1,0
user_31@scp.local,0,0,9.6,4,36.74,0.87,2,2,0
user_26@scp.local,0,0,101.2,0,32.12,0.83,2,1,0
user_49@scp.local,0,8,114.6,0,17.71,0.94,2,2,0
user_21@scp.local,0,5,6.4,1,12.91,0.88,1,2,0
user_15@scp.local,0,1,36.9,2,15.13,1.0,3,1,0
user_49@scp.local,0,2,49.1,4,41.86,0.89,2,2,0
user_9@scp.local,0,6,55.2,4,21.17,0.95,1,1,0
user_46@scp.local,0,31,90.8,2,39.32,0.02,5,1,1
user_39@scp.local,0,5,24.0,0,12.93,0.95,2,1,0
user_41@scp.local,0,2,94.2,1,4.93,0.95,2,1,0
user_11@scp.local,0,6,37.8,3,42.48,0.85,1,1,0
user_39@scp.local,0,7,68.1,2,9.84,0.86,4,1,0
user_27@scp.local,22,2,57.6,1,25.51,0.84,5,1,1
user_31@scp.local,0,2,112.8,2,18.57,0.99,1,2,0
user_31@scp.local,0,5,86.3,1,26.37,0.83,1,1,0
user_30@scp.local,0,4,79.4,4,34.95,0.81,2,2,0
user_28@scp.local,0,9,26.8,2,18.94,0.84,4,2,0
user_30@scp.local,0,1,119.9,1,49.74,0.95,1,1,0
user_46@scp.local,0,4,7.4,3,22.18,0.95,5,2,0
user_20@scp.local,0,9,61.4,1,29.11,0.98,5,2,0
user_49@scp.local,0,1,41.4,3,35.53,0.81,5,2,0
user_10@scp.local,0,2,76.8,1,23.12,0.84,5,2,0
user_40@scp.local,0,1,90.1,3,6.58,0.88,1,1,0
user_23@scp.local,0,3,60.4,0,45.93,0.95,2,1,0
user_17@scp.local,0,7,111.2,1,46.15,0.92,4,2,0
user_2@scp.local,0,0,23.1,4,12.92,0.99,1,2,0
user_22@scp.local,0,5,46.7,0,13.57,0.99,5,1,0
user_24@scp.local,0,3,25.4,0,24.68,0.94,1,2,0
user_17@scp.local,0,6,63.1,1,7.3,0.81,5,2,0
user_4@scp.local,0,9,32.2,2,15.35,0.88,2,2,0
user_31@scp.local,0,2,43.7,0,31.02,0.9,4,2,0
user_23@scp.local,0,1,47.1,1,11.16,0.97,3,1,0
user_7@scp.local,0,5,406.6,5,17.45,0.96,4,2,1
user_49@scp.local,0,3,118.5,0,13.61,0.87,5,1,0
user_8@scp.local,0,4,43.0,3,21.37,0.97,4,1,0
user_4@scp.local,0,9,11.3,2,1.81,1.0,1,2,0
user_6@scp.local,0,3,72.1,1,25.89,0.96,1,2,0
user_44@scp.local,0,9,116.8,1,25.42,0.95,2,2,0
user_37@scp.local,0,1,20.1,2,2.83,0.99,5,1,0
user_5@scp.local,0,2,65.9,4,9.15,0.85,4,1,0
user_9@scp.local,0,37,5.5,4,47.19,0.26,2,2,1
user_43@scp.local,0,2,58.6,1,28.2,0.8,1,2,0
user_27@scp.local,0,1,15.9,0,35.7,0.96,2,1,0
user_33@scp.local,0,4,41.2,4,48.82,0.97,1,1,0
user_37@scp.local,0,87,24.2,1,20.15,0.96,2,1,1
user_45@scp.local,0,2,59.5,4,18.18,0.96,1,1,0
user_16@scp.local,0,9,41.1,4,25.76,0.88,5,2,0
user_49@scp.local,0,0,41.8,2,3.93,0.94,5,1,0
user_37@scp.local,0,0,85.9,0,32.41,0.96,5,2,0
user_28@scp.local,0,8,109.9,3,15.89,0.98,1,1,0
user_46@scp.local,0,0,66.8,0,43.27,0.92,1,1,0
user_35@scp.local,0,5,23.4,0,47.86,0.96,2,1,0
user_41@scp.local,0,6,95.1,3,48.65,0.91,1,2,0
user_32@scp.local,0,0,48.3,1,17.3,0.96,5,2,0
user_26@scp.local,0,6,51.0,1,48.27,0.86,3,1,0
user_38@scp.local,0,7,6.6,0,46.51,0.85,3,2,0
user_2@scp.local,0,5,47.3,4,29.15,0.82,3,2,0
user_6@scp.local,0,0,71.8,0,47.28,0.9,3,2,0
user_8@scp.local,0,184,28.5,0,13.3,0.91,5,1,1
user_13@scp.local,0,0,5.3,1,3.82,0.89,3,1,0
user_34@scp.local,0,7,33.6,1,33.29,0.87,3,2,0
user_49@scp.local,0,4,80.4,3,13.92,0.85,5,2,0
user_8@scp.local,0,6,109.9,1,48.1,0.97,4,1,0
user_15@scp.local,0,3,56.9,1,32.83,0.87,3,2,0
user_5@scp.local,0,2,110.3,3,14.16,0.98,5,2,0
user_47@scp.local,0,1,102.6,0,1.79,1.0,2,2,0
user_28@scp.local,0,7,106.2,2,45.99,0.86,3,2,0
user_1@scp.local,0,0,54.5,4,21.55,0.96,1,2,0
user_10@scp.local,0,71,21.3,3,47.86,0.93,1,2,1
user_27@scp.local,0,10,51.1,1,6.86,0.92,2,1,0
user_41@scp.local,0,3,59.7,3,24.29,0.95,3,2,0
user_34@scp.local,0,0,9.2,4,3.13,0.97,2,2,0
user_3@scp.local,0,2,109.0,4,45.3,0.87,1,2,0
user_49@scp.local,0,6,11.1,2,33.19,0.9,5,1,0
user_38@scp.local,0,6,23.1,0,4.57,0.95,1,2,0
user_47@scp.local,0,9,27.5,1,35.49,0.97,4,1,0
user_29@scp.local,0,3,85.5,3,41.1,0.85,5,2,0
user_6@scp.local,0,1,95.5,2,36.86,0.97,4,2,0
user_43@scp.local,0,4,117.8,2,38.75,0.89,1,2,0
user_1@scp.local,0,9,65.9,3,27.86,0.86,3,2,0
user_4@scp.local,0,10,9.0,1,13.47,0.81,1,2,0
user_22@scp.local,0,1,36.9,1,19.52,0.88,5,2,0
user_1@scp.local,0,10,61.4,1,38.9,0.85,1,2,0
user_13@scp.local,0,1,79.2,1,31.33,0.94,2,2,0
user_49@scp.local,0,1,95.2,3,41.68,0.93,4,2,0
user_50@scp.local,0,0,115.0,3,47.27,0.93,2,1,0
user_30@scp.local,0,1,68.6,4,34.85,0.87,3,1,0
user_21@scp.local,0,5,62.5,3,34.65,0.99,2,2,0
user_26@scp.local,0,10,86.3,0,19.27,0.9,3,1,0
user_38@scp.local,0,1,108.8,3,22.37,0.94,4,1,0
user_24@scp.local,0,0,83.4,4,4.08,0.87,3,1,0
user_25@scp.local,0,3,20.9,4,17.39,0.95,4,2,0
user_40@scp.local,0,6,47.8,2,13.83,0.96,4,1,0
user_48@scp.local,0,0,19.2,0,17.28,0.81,5,2,0
user_24@scp.local,0,9,90.1,1,8.94,0.96,3,2,0
user_25@scp.local,0,7,54.8,3,15.38,0.95,1,1,0
user_32@scp.local,0,2,60.7,0,37.19,0.97,1,1,0
user_39@scp.local,0,2,19.5,2,9.68,1.0,5,1,0
user_5@scp.local,0,2,50.9,2,0.64,0.95,3,1,0
user_8@scp.local,0,8,98.7,3,15.1,0.87,1,1,0
user_25@scp.local,0,2,110.3,3,37.65,0.99,3,1,0
user_40@scp.local,0,0,110.5,0,45.68,0.82,1,1,0
user_20@scp.local,0,8,38.4,3,17.71,0.87,4,1,0
user_35@scp.local,0,10,71.8,1,7.91,0.98,3,1,0
user_44@scp.local,0,5,85.4,4,5.32,0.97,3,1,0
user_31@scp.local,0,1,100.4,2,49.86,0.89,3,1,0
user_49@scp.local,0,0,101.4,2,20.76,0.89,2,2,0
user_39@scp.local,0,6,67.4,0,19.73,0.97,4,1,0
user_26@scp.local,0,5,112.7,4,11.18,0.9,2,2,0
user_36@scp.local,0,1,12.2,2,29.98,0.92,2,2,0
user_26@scp.local,0,7,23.4,2,24.88,0.99,3,1,0
user_7@scp.local,0,9,93.9,0,41.7,0.81,5,2,0
user_18@scp.local,0,5,95.2,4,4.45,0.88,5,1,0
user_18@scp.local,12,2,14.4,3,27.13,0.98,5,2,1
user_21@scp.local,0,6,14.8,1,31.88,0.98,3,2,0
user_3@scp.local,0,1,24.3,2,40.78,0.94,4,1,0
user_6@scp.local,0,5,82.0,2,46.13,0.99,1,1,0
user_23@scp.local,0,6,18.5,0,31.75,0.81,4,1,0
user_11@scp.local,0,5,49.5,4,2.34,0.83,1,2,0
user_49@scp.local,0,9,36.4,1,34.95,0.83,1,1,0
user_7@scp.local,0,7,40.2,1,41.02,0.83,4,2,0
user_13@scp.local,0,4,40.5,0,9.99,0.95,1,2,0
user_42@scp.local,0,10,49.1,4,42.34,0.8,3,2,0
user_15@scp.local,0,8,103.8,0,18.78,0.95,2,2,0
user_16@scp.local,0,0,104.3,4,21.63,0.88,3,1,0
user_33@scp.local,0,0,92.1,4,19.37,0.88,3,1,0
user_33@scp.local,0,5,109.9,3,28.02,0.91,2,2,0
user_41@scp.local,0,10,105.7,2,22.61,0.85,2,2,0
user_48@scp.local,0,2,5.3,0,29.57,0.89,5,2,0
user_34@scp.local,0,10,21.8,0,46.67,1.0,3,1,0
user_17@scp.local,0,9,105.1,3,13.95,0.81,1,2,0
user_44@scp.local,0,1,102.2,3,9.97,0.88,4,2,0
user_46@scp.local,0,10,66.9,0,21.53,0.99,3,2,0
user_9@scp.local,0,31,92.5,4,14.68,0.04,3,2,1
user_9@scp.local,0,5,13.3,3,9.09,0.85,5,2,0
user_10@scp.local,0,80,18.8,1,15.66,0.99,2,1,1
user_50@scp.local,0,9,9.8,1,5.34,0.81,2,2,0
user_31@scp.local,0,43,67.3,2,10.21,0.09,4,1,1
user_40@scp.local,0,5,63.0,3,9.12,0.8,1,1,0
user_13@scp.local,0,1,42.2,4,27.3,0.83,5,1,0
user_48@scp.local,0,10,112.8,1,28.88,0.81,1,2,0
user_20@scp.local,0,3,10.8,1,23.9,0.83,1,1,0
user_3@scp.local,0,9,10.6,3,8.58,0.92,5,1,0
user_33@scp.local,0,0,59.1,2,10.93,0.86,5,2,0
user_24@scp.local,0,7,62.5,2,8.34,0.86,5,1,0
user_41@scp.local,0,4,61.4,4,29.5,0.97,2,1,0
user_46@scp.local,0,5,99.5,3,49.89,0.9,1,1,0
user_3@scp.local,0,5,101.8,1,15.56,0.95,5,1,0
user_5@scp.local,0,6,27.6,0,3.72,0.83,4,1,0
user_10@scp.local,0,2,37.5,2,34.18,1.0,1,2,0
user_37@scp.local,0,7,98.3,4,7.93,0.84,1,1,0
user_35@scp.local,0,0,68.5,0,9.42,0.81,2,1,0
user_21@scp.local,0,9,69.8,4,27.9,0.97,5,2,0
user_25@scp.local,0,3,89.2,3,27.16,0.88,1,1,0
user_33@scp.local,0,9,37.7,1,36.22,0.83,3,1,0
user_24@scp.local,0,0,35.7,1,43.08,0.95,5,1,0
user_35@scp.local,0,4,55.7,0,7.02,0.89,4,1,0
user_45@scp.local,21,7,52.7,0,30.47,0.93,2,1,1
user_8@scp.local,0,95,36.9,0,1363.3,0.86,4,1,1
user_26@scp.local,0,0,26.5,4,26.98,0.83,1,1,0
user_46@scp.local,0,9,102.7,2,7.44,0.84,4,1,0
user_47@scp.local,0,6,112.2,1,23.37,0.86,1,2,0
user_23@scp.local,0,9,74.2,4,31.93,0.9,2,1,0
user_28@scp.local,0,6,22.0,3,22.85,0.85,3,1,0
user_46@scp.local,0,7,80.4,4,49.83,0.93,2,2,0
user_27@scp.local,0,10,275.7,5,43.78,0.8,5,1,1
user_43@scp.local,0,0,48.7,0,35.69,0.88,4,2,0
user_47@scp.local,0,5,42.7,4,0.86,0.96,1,2,0
user_46@scp.local,0,8,98.1,2,37.67,0.88,2,1,0
user_13@scp.local,0,1,87.5,0,14.77,1.0,5,2,0
user_18@scp.local,0,0,26.6,4,0.07,0.9,4,2,0
user_1@scp.local,0,10,28.0,3,36.34,0.84,2,1,0
user_7@scp.local,0,3,104.5,3,48.72,0.95,5,2,0
user_50@scp.local,0,1,92.6,2,47.84,0.99,4,2,0
user_19@scp.local,0,8,23.6,0,25.85,0.89,1,1,0
user_40@scp.local,0,6,73.6,1,17.24,0.93,2,2,0
user_32@scp.local,0,0,411.1,5,1.6,0.9,2,2,1
user_16@scp.local,9,4,92.1,0,3.45,0.84,4,1,1
user_13@scp.local,0,7,34.8,1,2.75,0.89,5,1,0
user_34@scp.local,0,2,113.5,1,19.34,0.84,4,1,0
user_46@scp.local,0,10,70.0,3,6.17,0.96,4,2,0
user_48@scp.local,0,138,11.1,3,43.46,0.96,2,1,1
user_14@scp.local,0,3,25.4,0,43.33,0.87,1,1,0
user_19@scp.local,0,1,13.1,0,25.64,0.87,5,1,0
user_11@scp.local,0,4,287.8,5,43.72,0.9,2,2,1
user_18@scp.local,9,8,74.6,2,7.63,0.97,5,2,1
user_3@scp.local,0,23,111.4,4,43.94,0.04,5,2,1
user_32@scp.local,0,9,10.6,2,33.09,0.83,1,1,0
user_34@scp.local,0,3,37.4,0,26.01,0.88,3,1,0
user_4@scp.local,0,67,56.0,3,1800.39,0.81,2,1,1
user_28@scp.local,0,8,58.2,2,28.61,0.93,1,1,0
user_3@scp.local,0,7,85.3,3,19.72,0.82,1,2,0
user_48@scp.local,0,9,37.9,2,29.6,0.99,3,2,0
user_46@scp.local,0,3,43.1,4,32.98,0.83,5,1,0
user_43@scp.local,0,9,98.5,0,43.62,0.88,1,1,0
user_42@scp.local,0,75,21.0,0,790.95,1.0,3,2,1
user_12@scp.local,0,1,7.3,3,1.31,0.82,1,2,0
user_46@scp.local,0,10,24.6,4,44.88,0.84,1,1,0
user_32@scp.local,0,0,30.6,2,36.76,0.96,5,1,0
user_14@scp.local,0,5,34.9,1,27.37,0.83,2,2,0
user_39@scp.local,0,3,41.5,3,13.92,0.82,3,2,0
user_44@scp.local,0,7,38.1,2,12.41,0.96,5,2,0
user_3@scp.local,0,4,55.0,3,21.12,0.84,3,2,0
user_36@scp.local,0,10,50.9,2,31.09,0.96,5,2,0
user_9@scp.local,0,9,32.8,1,48.83,0.98,5,1,0
user_8@scp.local,0,6,20.6,3,11.61,0.87,5,1,0
user_28@scp.local,0,9,48.0,2,1.16,0.81,5,1,0
user_36@scp.local,0,1,76.1,4,11.51,0.98,2,2,0
user_9@scp.local,0,170,24.0,4,14.67,0.96,3,1,1
user_13@scp.local,0,4,5.5,3,26.44,0.91,5,2,0
user_50@scp.local,0,60,80.6,1,1369.62,0.9,2,2,1
user_33@scp.local,0,7,78.4,2,41.1,0.92,2,1,0
user_31@scp.local,0,1,112.0,2,12.56,0.85,3,2,0
user_25@scp.local,0,10,61.3,0,47.02,0.87,4,2,0
user_50@scp.local,0,5,113.9,1,21.48,0.92,3,2,0
user_34@scp.local,0,4,26.5,4,11.88,0.89,2,1,0
user_20@scp.local,0,37,47.8,4,28.48,0.29,4,2,1
user_11@scp.local,0,8,14.3,3,28.82,0.95,1,1,0
user_7@scp.local,0,2,29.7,3,24.1,0.97,2,2,0
user_26@scp.local,0,5,37.8,2,31.92,0.92,4,2,0
user_23@scp.local,0,8,79.7,3,11.31,0.82,5,1,0
user_5@scp.local,0,4,97.6,1,27.07,0.8,5,2,0
user_46@scp.local,0,7,26.4,0,39.33,0.98,4,2,0
user_33@scp.local,0,9,81.9,1,0.24,0.87,2,2,0
user_20@scp.local,0,42,102.6,2,42.32,0.03,2,1,1
user_46@scp.local,0,15,18.5,1,9.0,0.11,4,2,1
user_32@scp.local,0,6,18.8,2,30.54,0.9,3,2,0
user_32@scp.local,0,60,12.3,3,40.67,0.97,4,1,1
user_4@scp.local,0,0,91.1,1,31.02,0.89,4,1,0
user_14@scp.local,0,60,100.5,3,1009.62,0.85,5,1,1
user_38@scp.local,0,10,103.8,3,39.18,0.8,5,2,0
user_18@scp.local,0,3,116.9,1,19.59,0.95,2,1,0
user_5@scp.local,0,0,51.8,0,43.56,0.98,1,2,0
user_49@scp.local,0,6,44.6,3,28.86,0.92,5,2,0
user_3@scp.local,0,2,30.1,4,42.07,0.98,3,1,0
user_49@scp.local,0,8,59.2,0,8.94,0.86,4,1,0
user_41@scp.local,0,2,67.0,2,28.99,0.95,3,2,0
user_40@scp.local,0,10,51.0,4,9.01,0.87,4,2,0
user_3@scp.local,0,4,104.8,0,43.49,0.99,3,2,0
user_5@scp.local,0,10,59.1,4,18.19,0.82,5,2,0
user_16@scp.local,0,8,27.8,4,30.44,0.89,2,2,0
user_6@scp.local,0,6,119.6,3,30.02,0.85,3,1,0
user_24@scp.local,0,5,26.8,0,13.66,0.84,3,2,0
user_15@scp.local,0,10,54.0,0,1.69,0.83,1,2,0
user_31@scp.local,0,6,49.3,3,27.07,0.96,1,1,0
user_49@scp.local,0,9,51.3,2,23.83,0.88,4,2,0
user_30@scp.local,0,4,63.1,0,29.94,0.93,5,2,0
user_2@scp.local,0,9,98.3,4,46.75,0.9,3,2,0
user_41@scp.local,0,8,81.5,0,7.41,0.82,5,1,0
user_30@scp.local,0,7,9.5,4,23.75,0.86,1,1,0
user_50@scp.local,0,1,60.8,2,19.79,0.96,2,1,0
user_47@scp.local,0,1,91.4,0,5.65,0.92,3,2,0
user_7@scp.local,0,5,31.5,3,42.14,0.91,5,2,0
user_22@scp.local,0,6,37.9,2,23.21,0.84,1,1,0
user_45@scp.local,0,2,40.6,4,39.74,0.91,3,2,0
user_48@scp.local,0,10,90.5,1,19.71,0.83,4,1,0
user_1@scp.local,0,2,6.3,1,39.29,0.98,5,1,0
user_41@scp.local,0,3,113.5,1,46.51,0.84,2,2,0
user_38@scp.local,0,62,110.7,3,1199.56,0.82,2,1,1
